,日本酒度下限,日本酒度上限,酸度下限,酸度上限,度数下限,度数上限,４タイプ分類-1,4タイプ分類-2
刺身/寿司,0,5,0,2,10,16,A,B
煮物,-3,5,0,1,10,16,B,C
焼き物,0,15,1,2,15,20,B,C
揚げ物,0,15,1,2,10,18,A,B
