,日本酒度下限,日本酒度上限,酸度下限,酸度上限,度数下限,度数上限,４タイプ分類-1,4タイプ分類-2
天津,-5,5,0,2,10,15,B,B
濃い味,-5,5,0,3,10,18,C,D
薄味,0,10,0,1,10,15,B,B
揚げ物,2,15,0,1,10,16,B,C
